id_student,activity_type,sum_click,final_result
275296,forumng,13,Fail
275296,glossary,0,Fail
275296,oucollaborate,0,Fail
275296,oucontent,60,Fail
275296,ouelluminate,0,Fail
275296,questionnaire,0,Fail
275296,quiz,8,Fail
275296,resource,12,Fail
275296,sharedsubpage,0,Fail
275296,subpage,5,Fail
275296,url,3,Fail
556863,forumng,258,Pass
556863,glossary,0,Pass
556863,oucollaborate,8,Pass
556863,oucontent,354,Pass
556863,ouelluminate,0,Pass
556863,questionnaire,4,Pass
556863,quiz,163,Pass
556863,resource,10,Pass
556863,sharedsubpage,0,Pass
556863,subpage,26,Pass
556863,url,4,Pass
544978,forumng,22,Fail
544978,glossary,0,Fail
544978,oucollaborate,0,Fail
544978,oucontent,1,Fail
544978,ouelluminate,0,Fail
544978,questionnaire,0,Fail
544978,quiz,32,Fail
544978,resource,2,Fail
544978,sharedsubpage,0,Fail
544978,subpage,4,Fail
544978,url,2,Fail
465599,forumng,355,Pass
465599,glossary,0,Pass
465599,oucollaborate,0,Pass
465599,oucontent,0,Pass
465599,ouelluminate,0,Pass
465599,questionnaire,0,Pass
465599,quiz,58,Pass
465599,resource,9,Pass
465599,sharedsubpage,0,Pass
465599,subpage,8,Pass
465599,url,7,Pass
157795,forumng,863,Pass
157795,glossary,3,Pass
157795,oucollaborate,0,Pass
157795,oucontent,17,Pass
157795,ouelluminate,0,Pass
157795,questionnaire,0,Pass
157795,quiz,78,Pass
157795,resource,54,Pass
157795,sharedsubpage,0,Pass
157795,subpage,54,Pass
157795,url,38,Pass
1963287,forumng,10,Fail
1963287,glossary,0,Fail
1963287,oucollaborate,0,Fail
1963287,oucontent,1,Fail
1963287,ouelluminate,0,Fail
1963287,questionnaire,0,Fail
1963287,quiz,12,Fail
1963287,resource,9,Fail
1963287,sharedsubpage,0,Fail
1963287,subpage,15,Fail
1963287,url,3,Fail
388432,forumng,55,Fail
388432,glossary,0,Fail
388432,oucollaborate,0,Fail
388432,oucontent,12,Fail
388432,ouelluminate,0,Fail
388432,questionnaire,0,Fail
388432,quiz,87,Fail
388432,resource,8,Fail
388432,sharedsubpage,0,Fail
388432,subpage,16,Fail
388432,url,9,Fail
625826,forumng,47,Pass
625826,glossary,0,Pass
625826,oucollaborate,2,Pass
625826,oucontent,110,Pass
625826,ouelluminate,0,Pass
625826,questionnaire,0,Pass
625826,quiz,0,Pass
625826,resource,30,Pass
625826,sharedsubpage,0,Pass
625826,subpage,36,Pass
625826,url,1,Pass
566392,forumng,209,Fail
566392,glossary,0,Fail
566392,oucollaborate,0,Fail
566392,oucontent,28,Fail
566392,ouelluminate,0,Fail
566392,questionnaire,0,Fail
566392,quiz,177,Fail
566392,resource,99,Fail
566392,sharedsubpage,0,Fail
566392,subpage,132,Fail
566392,url,28,Fail
539265,forumng,2049,Pass
539265,glossary,1,Pass
539265,oucollaborate,0,Pass
539265,oucontent,1,Pass
539265,ouelluminate,5,Pass
539265,questionnaire,0,Pass
539265,quiz,160,Pass
539265,resource,27,Pass
539265,sharedsubpage,0,Pass
539265,subpage,36,Pass
539265,url,14,Pass
554352,forumng,531,Pass
554352,glossary,0,Pass
554352,oucollaborate,0,Pass
554352,oucontent,4,Pass
554352,ouelluminate,0,Pass
554352,questionnaire,0,Pass
554352,quiz,90,Pass
554352,resource,28,Pass
554352,sharedsubpage,1,Pass
554352,subpage,62,Pass
554352,url,11,Pass
384636,forumng,141,Fail
384636,glossary,0,Fail
384636,oucollaborate,0,Fail
384636,oucontent,23,Fail
384636,ouelluminate,0,Fail
384636,questionnaire,0,Fail
384636,quiz,50,Fail
384636,resource,23,Fail
384636,sharedsubpage,0,Fail
384636,subpage,48,Fail
384636,url,26,Fail
305935,forumng,0,Fail
305935,glossary,0,Fail
305935,oucollaborate,0,Fail
305935,oucontent,0,Fail
305935,ouelluminate,0,Fail
305935,questionnaire,0,Fail
305935,quiz,20,Fail
305935,resource,10,Fail
305935,sharedsubpage,0,Fail
305935,subpage,7,Fail
305935,url,0,Fail
684184,forumng,65,Pass
684184,glossary,0,Pass
684184,oucollaborate,18,Pass
684184,oucontent,685,Pass
684184,ouelluminate,0,Pass
684184,questionnaire,13,Pass
684184,quiz,128,Pass
684184,resource,33,Pass
684184,sharedsubpage,0,Pass
684184,subpage,35,Pass
684184,url,0,Pass
613856,forumng,105,Pass
613856,glossary,0,Pass
613856,oucollaborate,0,Pass
613856,oucontent,16,Pass
613856,ouelluminate,0,Pass
613856,questionnaire,0,Pass
613856,quiz,57,Pass
613856,resource,7,Pass
613856,sharedsubpage,0,Pass
613856,subpage,20,Pass
613856,url,57,Pass
597882,forumng,1544,Pass
597882,glossary,1,Pass
597882,oucollaborate,0,Pass
597882,oucontent,18,Pass
597882,ouelluminate,0,Pass
597882,questionnaire,0,Pass
597882,quiz,76,Pass
597882,resource,32,Pass
597882,sharedsubpage,0,Pass
597882,subpage,35,Pass
597882,url,17,Pass
602009,forumng,98,Pass
602009,glossary,1,Pass
602009,oucollaborate,0,Pass
602009,oucontent,7,Pass
602009,ouelluminate,0,Pass
602009,questionnaire,0,Pass
602009,quiz,66,Pass
602009,resource,13,Pass
602009,sharedsubpage,0,Pass
602009,subpage,16,Pass
602009,url,18,Pass
476037,forumng,258,Fail
476037,glossary,2,Fail
476037,oucollaborate,0,Fail
476037,oucontent,15,Fail
476037,ouelluminate,0,Fail
476037,questionnaire,0,Fail
476037,quiz,201,Fail
476037,resource,206,Fail
476037,sharedsubpage,1,Fail
476037,subpage,267,Fail
476037,url,83,Fail
2115250,forumng,306,Pass
2115250,glossary,1,Pass
2115250,oucollaborate,1,Pass
2115250,oucontent,1562,Pass
2115250,ouelluminate,0,Pass
2115250,questionnaire,13,Pass
2115250,quiz,154,Pass
2115250,resource,30,Pass
2115250,sharedsubpage,0,Pass
2115250,subpage,17,Pass
2115250,url,5,Pass
528261,forumng,429,Pass
528261,glossary,0,Pass
528261,oucollaborate,0,Pass
528261,oucontent,1,Pass
528261,ouelluminate,27,Pass
528261,questionnaire,0,Pass
528261,quiz,101,Pass
528261,resource,34,Pass
528261,sharedsubpage,0,Pass
528261,subpage,53,Pass
528261,url,15,Pass
626075,forumng,0,Pass
626075,glossary,0,Pass
626075,oucollaborate,2,Pass
626075,oucontent,101,Pass
626075,ouelluminate,0,Pass
626075,questionnaire,0,Pass
626075,quiz,3,Pass
626075,resource,10,Pass
626075,sharedsubpage,0,Pass
626075,subpage,14,Pass
626075,url,1,Pass
559344,forumng,32,Pass
559344,glossary,3,Pass
559344,oucollaborate,11,Pass
559344,oucontent,280,Pass
559344,ouelluminate,0,Pass
559344,questionnaire,0,Pass
559344,quiz,5,Pass
559344,resource,41,Pass
559344,sharedsubpage,0,Pass
559344,subpage,9,Pass
559344,url,1,Pass
575480,forumng,16,Fail
575480,glossary,0,Fail
575480,oucollaborate,0,Fail
575480,oucontent,0,Fail
575480,ouelluminate,0,Fail
575480,questionnaire,0,Fail
575480,quiz,0,Fail
575480,resource,0,Fail
575480,sharedsubpage,0,Fail
575480,subpage,0,Fail
575480,url,0,Fail
485980,forumng,142,Pass
485980,glossary,6,Pass
485980,oucollaborate,0,Pass
485980,oucontent,23,Pass
485980,ouelluminate,0,Pass
485980,questionnaire,0,Pass
485980,quiz,79,Pass
485980,resource,184,Pass
485980,sharedsubpage,0,Pass
485980,subpage,152,Pass
485980,url,102,Pass
541697,forumng,47,Pass
541697,glossary,0,Pass
541697,oucollaborate,0,Pass
541697,oucontent,0,Pass
541697,ouelluminate,1,Pass
541697,questionnaire,0,Pass
541697,quiz,96,Pass
541697,resource,30,Pass
541697,sharedsubpage,0,Pass
541697,subpage,38,Pass
541697,url,6,Pass
617472,forumng,123,Pass
617472,glossary,0,Pass
617472,oucollaborate,1,Pass
617472,oucontent,21,Pass
617472,ouelluminate,0,Pass
617472,questionnaire,0,Pass
617472,quiz,95,Pass
617472,resource,68,Pass
617472,sharedsubpage,0,Pass
617472,subpage,70,Pass
617472,url,9,Pass
548090,forumng,1964,Pass
548090,glossary,0,Pass
548090,oucollaborate,0,Pass
548090,oucontent,0,Pass
548090,ouelluminate,1,Pass
548090,questionnaire,0,Pass
548090,quiz,240,Pass
548090,resource,48,Pass
548090,sharedsubpage,0,Pass
548090,subpage,74,Pass
548090,url,15,Pass
632955,forumng,2,Pass
632955,glossary,0,Pass
632955,oucollaborate,1,Pass
632955,oucontent,316,Pass
632955,ouelluminate,0,Pass
632955,questionnaire,0,Pass
632955,quiz,124,Pass
632955,resource,13,Pass
632955,sharedsubpage,0,Pass
632955,subpage,9,Pass
632955,url,1,Pass
535077,forumng,812,Pass
535077,glossary,0,Pass
535077,oucollaborate,0,Pass
535077,oucontent,47,Pass
535077,ouelluminate,0,Pass
535077,questionnaire,0,Pass
535077,quiz,66,Pass
535077,resource,74,Pass
535077,sharedsubpage,0,Pass
535077,subpage,128,Pass
535077,url,45,Pass
597033,forumng,13,Fail
597033,glossary,0,Fail
597033,oucollaborate,0,Fail
597033,oucontent,0,Fail
597033,ouelluminate,0,Fail
597033,questionnaire,0,Fail
597033,quiz,0,Fail
597033,resource,0,Fail
597033,sharedsubpage,0,Fail
597033,subpage,0,Fail
597033,url,3,Fail
186565,forumng,368,Fail
186565,glossary,1,Fail
186565,oucollaborate,0,Fail
186565,oucontent,16,Fail
186565,ouelluminate,0,Fail
186565,questionnaire,0,Fail
186565,quiz,22,Fail
186565,resource,10,Fail
186565,sharedsubpage,0,Fail
186565,subpage,33,Fail
186565,url,19,Fail
605102,forumng,134,Pass
605102,glossary,0,Pass
605102,oucollaborate,1,Pass
605102,oucontent,16,Pass
605102,ouelluminate,0,Pass
605102,questionnaire,0,Pass
605102,quiz,104,Pass
605102,resource,13,Pass
605102,sharedsubpage,0,Pass
605102,subpage,32,Pass
605102,url,12,Pass
2006364,forumng,1,Fail
2006364,glossary,0,Fail
2006364,oucollaborate,0,Fail
2006364,oucontent,0,Fail
2006364,ouelluminate,0,Fail
2006364,questionnaire,0,Fail
2006364,quiz,1,Fail
2006364,resource,1,Fail
2006364,sharedsubpage,0,Fail
2006364,subpage,2,Fail
2006364,url,2,Fail
642633,forumng,30,Fail
642633,glossary,0,Fail
642633,oucollaborate,1,Fail
642633,oucontent,33,Fail
642633,ouelluminate,0,Fail
642633,questionnaire,0,Fail
642633,quiz,0,Fail
642633,resource,10,Fail
642633,sharedsubpage,0,Fail
642633,subpage,3,Fail
642633,url,0,Fail
555102,forumng,29,Pass
555102,glossary,0,Pass
555102,oucollaborate,0,Pass
555102,oucontent,0,Pass
555102,ouelluminate,0,Pass
555102,questionnaire,0,Pass
555102,quiz,65,Pass
555102,resource,1,Pass
555102,sharedsubpage,0,Pass
555102,subpage,2,Pass
555102,url,0,Pass
392604,forumng,143,Pass
392604,glossary,11,Pass
392604,oucollaborate,1,Pass
392604,oucontent,50,Pass
392604,ouelluminate,0,Pass
392604,questionnaire,0,Pass
392604,quiz,119,Pass
392604,resource,194,Pass
392604,sharedsubpage,0,Pass
392604,subpage,228,Pass
392604,url,57,Pass
31849,forumng,651,Pass
31849,glossary,0,Pass
31849,oucollaborate,0,Pass
31849,oucontent,32,Pass
31849,ouelluminate,0,Pass
31849,questionnaire,0,Pass
31849,quiz,64,Pass
31849,resource,20,Pass
31849,sharedsubpage,0,Pass
31849,subpage,64,Pass
31849,url,12,Pass
618816,forumng,0,Fail
618816,glossary,0,Fail
618816,oucollaborate,0,Fail
618816,oucontent,0,Fail
618816,ouelluminate,0,Fail
618816,questionnaire,0,Fail
618816,quiz,0,Fail
618816,resource,4,Fail
618816,sharedsubpage,0,Fail
618816,subpage,1,Fail
618816,url,0,Fail
523132,forumng,91,Pass
523132,glossary,2,Pass
523132,oucollaborate,22,Pass
523132,oucontent,653,Pass
523132,ouelluminate,0,Pass
523132,questionnaire,14,Pass
523132,quiz,159,Pass
523132,resource,39,Pass
523132,sharedsubpage,0,Pass
523132,subpage,32,Pass
523132,url,1,Pass
574766,forumng,430,Fail
574766,glossary,7,Fail
574766,oucollaborate,0,Fail
574766,oucontent,21,Fail
574766,ouelluminate,0,Fail
574766,questionnaire,0,Fail
574766,quiz,51,Fail
574766,resource,15,Fail
574766,sharedsubpage,0,Fail
574766,subpage,32,Fail
574766,url,32,Fail
423314,forumng,175,Fail
423314,glossary,0,Fail
423314,oucollaborate,0,Fail
423314,oucontent,2,Fail
423314,ouelluminate,0,Fail
423314,questionnaire,0,Fail
423314,quiz,15,Fail
423314,resource,4,Fail
423314,sharedsubpage,0,Fail
423314,subpage,6,Fail
423314,url,7,Fail
559381,forumng,42,Pass
559381,glossary,0,Pass
559381,oucollaborate,0,Pass
559381,oucontent,50,Pass
559381,ouelluminate,0,Pass
559381,questionnaire,0,Pass
559381,quiz,70,Pass
559381,resource,11,Pass
559381,sharedsubpage,0,Pass
559381,subpage,20,Pass
559381,url,4,Pass
692544,forumng,0,Pass
692544,glossary,0,Pass
692544,oucollaborate,0,Pass
692544,oucontent,216,Pass
692544,ouelluminate,0,Pass
692544,questionnaire,0,Pass
692544,quiz,51,Pass
692544,resource,23,Pass
692544,sharedsubpage,0,Pass
692544,subpage,10,Pass
692544,url,1,Pass
558024,forumng,104,Pass
558024,glossary,0,Pass
558024,oucollaborate,0,Pass
558024,oucontent,0,Pass
558024,ouelluminate,0,Pass
558024,questionnaire,0,Pass
558024,quiz,89,Pass
558024,resource,39,Pass
558024,sharedsubpage,0,Pass
558024,subpage,41,Pass
