id_student,final_result,forumng,glossary,homepage,oucollaborate,oucontent,ouelluminate,questionnaire,quiz,resource,sharedsubpage,subpage,url
275296,Fail,13,0,64,0,60,0,0,8,12,0,5,3
556863,Pass,258,0,90,8,354,0,4,163,10,0,26,4
544978,Fail,22,0,8,0,1,0,0,32,2,0,4,2
465599,Pass,355,0,150,0,0,0,0,58,9,0,8,7
157795,Pass,863,3,412,0,17,0,0,78,54,0,54,38
1963287,Fail,10,0,13,0,1,0,0,12,9,0,15,3
388432,Fail,55,0,120,0,12,0,0,87,8,0,16,9
625826,Pass,47,0,73,2,110,0,0,0,30,0,36,1
566392,Fail,209,0,382,0,28,0,0,177,99,0,132,28
539265,Pass,2049,1,966,0,1,5,0,160,27,0,36,14
554352,Pass,531,0,222,0,4,0,0,90,28,1,62,11
384636,Fail,141,0,123,0,23,0,0,50,23,0,48,26
305935,Fail,0,0,16,0,0,0,0,20,10,0,7,0
684184,Pass,65,0,232,18,685,0,13,128,33,0,35,0
613856,Pass,105,0,96,0,16,0,0,57,7,0,20,57
597882,Pass,1544,1,319,0,18,0,0,76,32,0,35,17
602009,Pass,98,1,76,0,7,0,0,66,13,0,16,18
476037,Fail,258,2,300,0,15,0,0,201,206,1,267,83
2115250,Pass,306,1,237,1,1562,0,13,154,30,0,17,5
528261,Pass,429,0,281,0,1,27,0,101,34,0,53,15
626075,Pass,0,0,50,2,101,0,0,3,10,0,14,1
559344,Pass,32,3,119,11,280,0,0,5,41,0,9,1
575480,Fail,16,0,2,0,0,0,0,0,0,0,0,0
485980,Pass,142,6,306,0,23,0,0,79,184,0,152,102
541697,Pass,47,0,99,0,0,1,0,96,30,0,38,6
617472,Pass,123,0,156,1,21,0,0,95,68,0,70,9
548090,Pass,1964,0,633,0,0,1,0,240,48,0,74,15
632955,Pass,2,0,90,1,316,0,0,124,13,0,9,1
535077,Pass,812,0,390,0,47,0,0,66,74,0,128,45
597033,Fail,13,0,11,0,0,0,0,0,0,0,0,3
186565,Fail,368,1,140,0,16,0,0,22,10,0,33,19
605102,Pass,134,0,93,1,16,0,0,104,13,0,32,12
2006364,Fail,1,0,18,0,0,0,0,1,1,0,2,2
642633,Fail,30,0,31,1,33,0,0,0,10,0,3,0
555102,Pass,29,0,43,0,0,0,0,65,1,0,2,0
392604,Pass,143,11,485,1,50,0,0,119,194,0,228,57
31849,Pass,651,0,336,0,32,0,0,64,20,0,64,12
618816,Fail,0,0,2,0,0,0,0,0,4,0,1,0
523132,Pass,91,2,267,22,653,0,14,159,39,0,32,1
574766,Fail,430,7,186,0,21,0,0,51,15,0,32,32
423314,Fail,175,0,89,0,2,0,0,15,4,0,6,7
559381,Pass,42,0,53,0,50,0,0,70,11,0,20,4
692544,Pass,0,0,113,0,216,0,0,51,23,0,10,1
558024,Pass,104,0,113,0,0,0,0,89,39,0,41,14
2636696,Pass,1,0,62,1,6,0,0,74,2,0,4,21
2280038,Fail,52,0,13,0,0,0,0,0,11,0,0,2
512417,Pass,898,0,531,0,2,0,0,83,9,0,27,43
1989014,Pass,285,8,453,95,1361,0,10,360,106,0,96,13
587459,Pass,147,10,347,1,847,0,4,164,21,0,95,9
655547,Pass,0,0,167,0,228,0,0,190,37,0,46,4
555946,Fail,219,0,125,0,2,0,0,61,26,0,33,8
527313,Fail,23,0,17,0,1,0,0,1,4,0,5,2
608110,Pass,24,0,66,2,10,0,0,62,6,0,16,13
184972,Pass,63,2,263,11,1197,0,7,111,89,0,18,0
565575,Pass,12,0,145,14,282,0,0,147,41,0,41,1
641840,Pass,154,0,220,2,343,0,6,111,34,0,63,0
646063,Pass,0,2,102,0,598,0,11,235,18,0,19,1
645042,Fail,174,1,111,12,272,0,0,35,13,0,17,1
2299745,Fail,22,0,97,1,84,0,0,51,15,0,12,0
2001687,Pass,1,0,279,0,58,0,0,67,33,0,69,7
610032,Pass,1689,16,380,0,33,0,0,103,19,0,39,54
2228601,Pass,726,15,601,48,1055,0,6,250,52,0,130,7
682107,Pass,1,1,115,0,744,0,16,259,36,0,16,0
624738,Pass,264,0,237,0,15,0,0,80,56,0,36,50
634481,Pass,0,0,28,0,31,0,0,84,3,0,5,1
515329,Pass,2,0,88,3,429,0,9,214,30,0,20,0
558373,Pass,205,0,330,0,3,0,0,141,163,0,182,7
588685,Fail,20,0,37,0,0,0,0,29,1,0,4,4
2474493,Pass,85,0,73,0,0,0,0,48,14,0,27,2
602826,Fail,535,0,181,0,0,0,0,107,4,0,16,9
369234,Fail,0,0,102,0,420,0,2,37,7,0,7,1
547892,Pass,335,2,105,0,0,0,0,55,32,0,35,7
537434,Pass,1931,0,564,0,2,7,0,135,91,0,149,16
507014,Pass,9,0,77,2,128,0,0,13,29,0,29,0
654545,Fail,83,4,47,11,178,0,0,0,23,0,26,2
686378,Fail,6,6,69,0,339,0,0,170,138,0,104,4
629835,Pass,361,0,126,1,24,0,0,69,1,0,9,9
631266,Fail,8,0,32,0,62,0,0,37,12,0,11,0
697959,Pass,0,0,84,0,915,0,4,140,14,0,31,0
599908,Pass,453,4,339,0,8,0,0,81,64,0,79,75
466037,Fail,78,0,51,0,0,0,0,35,9,0,16,5
651087,Fail,0,0,19,0,20,0,0,0,20,0,12,0
630497,Fail,18,0,14,0,3,0,0,1,6,0,17,5
553490,Fail,87,0,20,0,1,2,0,0,5,0,9,5
635433,Pass,66,0,52,1,26,0,0,89,3,0,9,0
520100,Fail,0,0,10,0,0,0,0,0,2,0,3,1
572508,Pass,339,0,286,2,22,0,0,97,32,0,69,53
614744,Pass,56,0,74,0,24,0,0,78,0,0,2,9
537640,Pass,29,0,207,15,456,0,0,144,57,0,65,3
571554,Pass,376,1,445,0,76,0,0,88,34,0,63,122
613418,Pass,40,2,246,0,17,0,0,153,79,0,128,19
591725,Fail,0,0,1,0,0,0,0,0,0,0,0,0
582253,Pass,63,0,281,3,1057,0,13,99,94,0,79,0
695075,Pass,8,0,178,0,641,0,6,86,26,0,40,0
569930,Pass,509,1,359,0,23,0,0,113,17,0,45,9
512581,Fail,2314,0,486,0,10,0,0,40,15,0,16,9
509696,Pass,12,0,161,0,48,0,0,60,11,0,28,36
547259,Pass,572,0,387,0,0,0,0,98,111,0,197,41
586086,Pass,579,4,156,0,45,0,0,66,27,0,35,8
570271,Pass,2175,2,460,0,33,0,0,111,32,0,33,9
2487573,Pass,42,3,321,6,1195,0,12,152,66,0,55,5
620257,Pass,149,0,74,0,6,0,0,59,26,0,65,4
549226,Fail,71,1,80,0,24,0,0,68,4,0,21,5
556284,Pass,156,0,133,0,0,0,0,42,12,0,34,4
514864,Pass,748,0,696,2,31,0,0,112,79,0,103,19
571954,Pass,52,0,149,3,18,0,0,63,26,0,25,8
500016,Pass,121,2,92,5,8,0,0,79,31,0,42,14
630834,Pass,221,1,320,0,1420,0,10,274,56,0,51,3
624306,Pass,18,0,99,0,12,0,0,46,38,0,22,27
229426,Pass,84,1,91,0,0,0,0,63,25,0,55,10
697754,Pass,361,1,372,12,749,0,11,78,50,0,52,3
420663,Pass,12,0,82,0,2,0,0,74,15,0,35,31
68556,Fail,9,0,40,0,0,0,0,16,7,0,10,16
577280,Pass,434,1,166,0,4,0,0,64,16,0,23,5
686940,Pass,485,0,306,8,910,0,14,127,37,0,29,1
235097,Fail,648,2,240,0,2,0,0,60,16,0,17,16
604358,Pass,133,1,210,3,824,0,12,152,41,0,79,1
548871,Fail,79,0,46,0,0,0,0,85,44,0,56,13
280140,Fail,11,0,36,0,5,0,0,17,12,0,15,11
546609,Pass,224,5,170,0,0,0,0,77,55,1,109,8
544741,Pass,43,0,45,0,0,0,0,124,9,0,6,4
651659,Pass,69,7,239,4,581,0,7,147,64,0,63,2
647502,Pass,53,0,48,0,69,0,0,97,4,0,4,0
624196,Pass,623,2,417,0,29,0,0,83,34,0,52,75
399737,Pass,156,4,282,3,1032,0,9,126,34,0,32,0
678444,Fail,0,0,22,0,24,0,0,1,8,0,18,0
643208,Pass,87,13,212,8,1171,0,9,112,53,0,84,1
692908,Pass,253,3,287,3,421,0,0,175,48,0,96,2
493451,Fail,172,0,47,0,0,0,0,37,5,0,13,3
591574,Pass,257,0,357,0,18,0,0,78,47,0,63,70
613932,Fail,0,0,4,0,0,0,0,0,1,0,3,1
572416,Pass,518,0,146,0,12,0,0,98,15,0,24,5
596677,Fail,2,0,6,0,0,0,0,22,2,0,7,4
495786,Fail,6,0,5,0,0,0,0,0,0,0,0,0
631441,Pass,1210,3,364,0,47,0,0,128,83,0,107,83
607804,Pass,152,0,65,0,35,0,0,65,9,0,23,3
550520,Pass,319,0,101,0,0,0,0,67,25,0,49,6
2187146,Pass,901,1,686,0,28,0,0,90,34,0,101,25
552025,Fail,247,0,85,0,1,0,0,42,18,0,31,17
2384819,Pass,173,0,103,0,0,0,0,54,4,0,17,3
624598,Fail,0,0,19,0,0,0,0,17,10,0,19,3
625087,Fail,212,2,136,0,21,0,0,43,75,0,120,48
275112,Fail,39,0,185,0,4,0,0,111,51,0,92,45
649189,Pass,979,134,996,42,3185,0,17,320,142,0,259,3
294513,Pass,1409,6,371,0,28,0,0,85,10,0,12,4
529795,Fail,9,0,25,0,23,0,0,20,9,0,22,7
1930367,Pass,237,4,105,0,1,2,0,53,39,0,80,11
551953,Fail,93,1,42,0,0,0,0,51,4,0,6,2
694526,Pass,2,3,139,0,250,0,0,67,14,0,28,0
610906,Pass,42,0,138,0,6,0,0,74,17,0,27,84
600770,Fail,55,0,27,0,1,0,0,0,0,0,5,4
637414,Pass,0,0,181,0,1048,0,12,155,35,0,29,2
612120,Fail,184,2,54,0,8,0,0,55,11,0,31,7
559414,Pass,354,0,146,0,18,0,0,74,10,0,6,20
273731,Pass,325,0,201,0,1,1,0,60,31,0,68,17
648778,Pass,236,1,249,10,834,0,9,173,17,0,28,1
2529306,Fail,22,0,91,0,4,0,0,96,10,0,20,26
484412,Pass,848,11,621,0,28,0,0,83,185,0,200,104
573043,Pass,349,4,206,0,93,0,0,152,46,0,63,19
373269,Fail,378,6,141,1,26,0,0,87,64,0,124,16
559606,Pass,2307,2,834,0,1,47,0,70,39,1,66,15
188026,Fail,122,0,145,0,5,0,0,77,15,0,59,21
594677,Pass,309,1,206,0,75,0,0,86,21,0,30,41
596390,Pass,1,0,32,0,12,0,0,86,2,0,10,0
604196,Pass,284,0,93,0,15,0,0,79,11,0,11,2
2664036,Fail,0,0,2,0,0,0,0,0,0,0,0,1
532615,Pass,300,0,136,0,17,0,0,91,13,0,36,8
577728,Fail,0,1,52,0,44,0,0,0,18,0,21,4
575089,Fail,9,0,51,0,1,0,0,29,26,0,26,6
2227568,Pass,73,5,230,7,638,0,0,172,84,0,89,0
511306,Pass,5206,5,2059,0,1,3,0,145,50,1,99,22
689828,Pass,3,0,45,0,48,0,0,0,4,0,10,1
2580439,Pass,131,0,64,0,1,1,0,72,24,0,37,4
409160,Fail,62,0,64,0,1,0,0,7,16,0,40,20
534323,Pass,146,0,123,3,3,0,0,75,50,0,80,20
589444,Pass,171,0,103,0,55,0,0,71,25,0,45,11
80717,Pass,2178,1,938,0,66,0,0,76,158,0,191,91
634058,Pass,63,0,44,0,3,0,0,39,15,0,41,11
551032,Fail,215,0,190,0,1,0,0,103,71,0,85,11
575100,Fail,18,0,61,0,2,0,0,45,2,0,12,19
639724,Pass,183,1,252,15,571,0,3,159,43,0,63,2
491387,Pass,162,2,227,17,636,0,13,147,29,0,59,2
656222,Fail,0,0,56,0,75,0,0,9,57,0,19,3
610750,Pass,289,3,156,0,41,0,0,77,46,0,58,39
