ID_Student,course_year_month,Pass,Fail,dataplus,dualpane,externalquiz,folder,forumng,glossary,homepage,htmlactivity,oucollaborate,oucontent,ouelluminate,ouwiki,page,questionnaire,quiz,repeatactivity,resource,sharedsubpage,subpage,url
186670,BBB 2013_February,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1
590974,CCC 2014_October,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
466425,FFF 2013_October,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1
628759,GGG 2014_February,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
341509,BBB 2013_February,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1
645371,BBB 2014_October,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
40419,DDD 2013_October,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1
680569,GGG 2014_October,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
591655,CCC 2014_October,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1
585603,BBB 2013_October,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
650424,FFF 2014_October,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1
2497624,BBB 2014_October,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1
2229865,AAA 2013_October,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1
654064,GGG 2014_October,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
611612,GGG 2014_February,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
643502,FFF 2014_October,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1
559449,FFF 2014_February,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
613832,BBB 2014_February,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
555061,BBB 2013_October,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
698092,EEE 2014_October,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
