ID_Student,course_year_month,pass,dataplus,dualpane,externalquiz,folder,forumng,glossary,homepage,htmlactivity,oucollaborate,oucontent,ouelluminate,ouwiki,page,questionnaire,quiz,repeatactivity,resource,sharedsubpage,subpage,url
560374,GGG 2013_October,True,0,0,0,0,0,0,51,0,0,50,0,0,0,0,65,0,5,0,8,0
519684,EEE 2013_October,True,0,2,0,0,525,0,706,0,0,1788,0,193,0,0,371,0,77,0,215,60
570529,GGG 2013_October,True,0,0,0,0,45,2,275,0,0,628,0,0,0,0,158,0,77,0,15,0
643653,FFF 2014_October,True,0,0,0,0,411,0,470,3,9,964,0,14,5,19,1001,0,20,0,254,37
678680,BBB 2014_October,True,0,0,0,0,109,4,235,0,26,478,0,0,0,0,118,0,84,0,26,0
681200,EEE 2014_October,True,0,0,0,0,1223,0,820,0,0,737,0,462,1,0,146,0,12,0,123,79
358075,CCC 2014_October,True,0,0,8,0,599,0,491,0,3,99,10,11,0,0,248,0,41,0,94,44
2280038,BBB 2013_February,False,0,0,0,0,52,0,13,0,0,0,0,0,0,0,0,0,11,0,0,2
469113,EEE 2013_October,True,0,3,0,0,275,0,267,0,0,587,0,259,0,0,257,0,13,0,35,23
84605,DDD 2014_February,True,0,0,12,0,383,0,302,0,2,242,0,33,0,0,0,0,43,0,149,28
613093,BBB 2014_February,True,0,0,0,0,18,0,96,0,0,7,0,0,0,0,133,0,15,0,33,45
511453,DDD 2013_October,True,0,0,4,0,14,0,144,0,0,231,0,50,0,0,0,0,35,0,151,12
134260,FFF 2013_February,True,1,1,0,0,107,0,125,0,0,94,3,1,3,0,661,0,32,0,122,7
522859,FFF 2013_February,True,45,14,0,0,272,0,399,0,0,2058,8,60,21,32,768,0,47,0,325,29
303288,FFF 2013_February,False,0,0,0,0,80,0,48,0,0,146,0,1,1,0,0,0,13,0,78,9
487607,DDD 2014_October,False,0,0,3,0,34,24,102,0,5,63,0,8,0,0,0,0,50,0,126,8
346843,AAA 2013_October,False,0,0,0,0,5,0,28,0,0,113,0,0,0,0,0,0,0,0,15,3
395954,GGG 2013_October,False,0,0,0,0,0,0,30,0,0,18,0,0,0,0,0,0,24,0,4,0
392428,BBB 2013_February,True,0,0,0,0,142,3,145,0,0,1,0,0,0,0,74,0,51,0,107,10
374747,BBB 2014_February,True,0,0,0,0,142,0,60,0,0,10,0,0,0,0,74,0,2,0,9,1
566923,GGG 2013_October,False,0,0,0,0,14,1,77,0,0,123,0,0,0,0,85,0,13,0,24,0
315025,FFF 2014_February,True,6,0,0,3,524,0,466,0,4,1508,0,68,18,32,619,0,27,0,412,56
572457,DDD 2013_October,True,0,0,48,0,745,4,774,0,28,154,0,111,0,0,0,0,162,0,651,93
594643,FFF 2013_October,False,0,0,0,0,145,0,63,0,1,39,0,1,3,0,100,0,17,0,30,2
544880,FFF 2013_February,False,0,1,0,0,69,0,102,0,0,384,3,10,13,0,167,0,14,0,78,16
603265,BBB 2013_October,False,0,0,0,0,59,0,34,0,0,2,0,0,0,0,33,0,8,0,12,3
612756,BBB 2014_February,True,0,0,0,0,809,1,504,0,4,87,0,0,0,0,156,0,176,0,332,18
2457907,DDD 2013_October,True,0,0,8,0,132,0,169,0,2,301,0,72,0,0,0,0,69,0,107,5
558122,CCC 2014_February,False,0,0,0,0,10,0,42,0,0,205,0,0,0,0,10,0,8,0,11,3
578646,DDD 2014_October,True,0,0,9,0,53,12,158,0,53,238,0,0,0,0,0,0,102,0,219,9
687410,FFF 2014_October,True,0,0,0,0,77,0,302,1,0,1171,0,9,2,9,545,0,22,0,243,25
561976,FFF 2013_October,True,0,0,0,3,117,0,153,0,0,301,0,0,0,0,568,0,21,0,202,3
524386,EEE 2014_February,False,0,0,0,0,14,0,63,0,5,55,0,0,0,0,115,0,4,0,25,14
269388,CCC 2014_October,False,0,0,0,0,125,0,221,0,1,339,0,0,0,0,257,0,36,0,37,8
634909,DDD 2014_February,False,0,0,0,0,28,0,44,0,6,23,0,1,0,0,0,0,2,0,37,0
138204,DDD 2014_February,False,0,0,1,0,17,0,56,0,0,61,0,0,0,0,0,0,11,0,34,2
615090,BBB 2014_February,True,0,0,0,0,7,0,42,0,0,5,0,0,0,0,84,0,10,0,12,0
540614,BBB 2013_February,True,0,0,0,0,336,1,361,0,0,1,4,0,0,0,114,0,20,0,121,51
604906,CCC 2014_October,False,0,17,0,0,588,0,408,0,14,978,0,17,3,0,1161,0,63,0,218,52
393682,GGG 2014_February,False,0,0,0,0,0,0,37,0,0,35,0,0,0,0,78,0,3,0,18,0
586134,BBB 2014_October,True,0,0,0,0,6,9,154,0,14,234,0,0,0,0,66,0,43,0,46,0
548764,FFF 2013_February,True,0,0,0,0,94,0,254,0,0,566,0,2,9,0,2786,0,70,0,220,16
602175,GGG 2013_October,False,0,0,0,0,34,0,30,0,0,4,0,0,0,0,1,0,9,0,6,0
612023,CCC 2014_February,False,0,2,0,0,44,0,164,0,4,409,0,9,0,0,456,0,45,0,127,14
576141,GGG 2013_October,False,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,4,0,5,0
